age,id,profession,family_size,gender,ever_married,graduated,spending_score,segmentation
22,1,Healthcare,4,Male,No,No,Low,D
67,2,Engineer,1,Female,Yes,Yes,Low,B
67,3,Lawyer,2,Male,Yes,Yes,High,B
56,4,Artist,2,Male,Yes,No,Average,C
32,5,Healthcare,3,Male,No,Yes,Low,C
33,6,Healthcare,3,Female,No,Yes,Low,D
61,7,Engineer,3,Female,Yes,Yes,Low,D
55,8,Artist,4,Female,Yes,Yes,Average,C
26,9,Engineer,3,Female,No,Yes,Low,A
19,10,Healthcare,4,Male,No,No,Low,D
58,11,Doctor,1,Female,Yes,No,Low,B
41,12,Healthcare,2,Female,No,No,Low,C
32,13,Homemaker,5,Female,No,No,Low,D
31,14,Healthcare,6,Male,No,No,Low,B
58,15,Entertainment,4,Male,Yes,Yes,Average,B
79,16,Artist,1,Female,Yes,Yes,High,C
49,17,Homemaker,1,Male,Yes,Yes,Low,A
18,18,Healthcare,4,Female,No,No,Low,D
33,19,Artist,2,Male,Yes,Yes,Low,A
36,20,Artist,2,Female,No,Yes,Low,B
56,21,Artist,3,Male,Yes,No,Average,C
31,22,Healthcare,8,Male,No,No,Low,A
49,23,Artist,3,Male,Yes,Yes,Average,C
35,24,Artist,1,Male,No,Yes,Low,B
35,25,Artist,4,Female,No,No,Low,C
45,26,Artist,3,Female,Yes,Yes,Low,C
42,27,Doctor,2,Female,Yes,No,Low,A
19,28,Healthcare,3,Male,No,No,Low,D
83,29,Lawyer,2,Female,Yes,No,High,D
27,30,Healthcare,4,Female,No,Yes,Low,D
32,31,Doctor,1,Male,No,No,Low,D
28,32,Healthcare,5,Female,Yes,No,Average,D
28,33,Artist,2,Female,Yes,Yes,Low,A
47,34,Artist,1,Female,No,Yes,Low,B
22,35,Healthcare,2,Female,No,No,Low,D
27,36,Artist,3,Female,No,Yes,Low,A
49,37,Artist,2,Female,Yes,Yes,Low,C
40,38,Engineer,1,Male,Yes,No,Low,A
41,39,Artist,4,Male,Yes,Yes,Average,B
19,40,Healthcare,4,Male,No,No,Low,D
45,41,Engineer,1,Female,No,Yes,Low,A
61,42,Artist,2,Female,Yes,No,Average,B
36,43,Artist,2,Female,Yes,Yes,Average,C
40,44,Artist,1,Male,Yes,Yes,Low,A
57,45,Entertainment,2,Female,Yes,Yes,Average,C
76,46,Marketing,1,Male,Yes,No,Low,A
32,47,Artist,2,Male,Yes,Yes,Average,B
25,48,Healthcare,4,Male,No,Yes,Low,D
45,49,Artist,3,Female,Yes,Yes,Average,C
48,50,Artist,2,Male,Yes,Yes,Average,C
55,51,Artist,2,Male,Yes,Yes,Average,C
74,52,Lawyer,3,Male,Yes,Yes,High,D
56,53,Lawyer,2,Male,Yes,Yes,High,A
59,54,Lawyer,2,Male,Yes,Yes,High,A
25,55,Entertainment,2,Male,No,Yes,Low,A
31,56,Doctor,2,Male,Yes,Yes,Average,A
27,57,Artist,4,Male,No,No,Low,A
57,58,Artist,4,Male,Yes,Yes,Average,B
27,59,Healthcare,2,Male,Yes,Yes,Low,D
51,60,Entertainment,2,Female,Yes,Yes,Average,A
47,61,Artist,5,Female,Yes,No,Average,B
33,62,Healthcare,4,Female,No,No,Low,D
56,63,Artist,4,Male,Yes,Yes,Average,C
33,64,Homemaker,3,Female,No,No,Low,B
36,65,Doctor,2,Female,No,Yes,Low,D
51,66,Artist,3,Male,Yes,No,Low,A
